Content,Title,categories,Age,inf
The country’s teachers are doing their best to provide lessons for the millions of school-age children whose education has been interrupted.,War in Ukraine Disrupts Education of Millions of Children,COLLEGE & EDUCATION,89,2.5
"Since their country invaded Ukraine, Russian tech workers have left by the thousands. They appear intent on rebuilding their lives and businesses in other countries.",Russian Tech Industry Faces ‘Brain Drain’ as Workers Flee,WORLD NEWS,90,56.5
,"Frank James was quiet and gruff, his neighbors in Milwaukee said.",ENTERTAINMENT & FUN,182,86.5
The attack on Tuesday brought to life a horror that the city had long avoided: a mass shooting on the subway.,Videos Show an Ordinary New York Morning Erupting Into Chaos on the N Train,CRIME,589,7.5
The fear in China is that the strict coronavirus policy has become another Mao-style political campaign with devastating effects.,China’s ‘Zero-Covid’ Mess Proves Autocracy Hurts Everyone,WORLD NEWS,90,56.5
Research on past conflicts suggests that the war in Ukraine could have a profound environmental impact.,How Nature Becomes a Casualty of War,ENVIRONMENT & GREEN,89,12.5
"The firm let consultants advise both drugmakers and their government overseers, internal records show. “Who we know and what we know” was part of their pitch.",McKinsey Opened a Door in Its Firewall Between Pharma Clients and Regulators,WELLNESS & HEALTHY LIVING,30,86.5
"Brian A. Benjamin, New York’s second in command to Gov. Kathy Hochul, was charged with bribery, fraud and falsification of records while a state senator.",Lt. Gov. Benjamin Resigns Following Campaign Finance Indictment,POLITICS,650,25.0
Lt. Gov. Brian Benjamin’s resignation in the face of a criminal indictment creates a major political test for Gov. Kathy Hochul.,Hochul Picked a Running Mate. Now She Has to Pick Another One.,POLITICS,736,25.0
"The publishing platform’s founders want Substack to be an “alternate universe on the internet.” But it faces copycat rivals, an exodus by writers and a need to move beyond newsletters.",Will Substack Go Beyond Newsletters? A Company Weighs Its Future.,ENTERTAINMENT & FUN,210,86.5
"The comedian is starring in “Mr. Saturday Night,” a musical version of his 1992 movie about an aging performer who won’t accept that his time in the spotlight is up.",Let Him Entertain You: Billy Crystal Returns to Broadway,ENTERTAINMENT & FUN,90,86.5
The law professor Amy Gajda writes about the tug of war between the right to know and the right to be let alone.,‘Seek and Hide’ Grapples With the Complexity of the Right to Privacy,POLITICS,90,25.0
"“I’m an exterminator and a bedbug eliminator. I’m a consultant. I’m a psychiatrist (I’m not a psychiatrist, I’m just being facetious).”",A New York City Exterminator on Hunting for Bedbugs,WELLNESS & HEALTHY LIVING,7993,86.5
We can’t afford to repeat our mistakes in Syria.,What Do We Do if Putin Uses Chemical Weapons?,WORLD NEWS,690,56.5
The bullwhip is flicking back.,"Prices Are High, but Inflation Is Dropping. (Don’t Get Too Excited.)",WEIRD NEWS,866,2.5
How can scientists look at the same evidence and come to such different conclusions?,Why Experts Can’t Seem to Agree on Boosters,SCIENCE & TECH,90,56.5
Bret Stephens and Zack Beauchamp debate the biggest challenges threatening liberalism in America and beyond.,The Dangerous Lesson Viktor Orban Taught Republicans,POLITICS,90,25.0
Ordinary voters are supposed to punish authoritarians by removing them from office. Intensifying partisanship is threatening that mechanism.,Trump Poses a Test Democracy Is Failing,POLITICS,90,25.0
How and why we confuse shame and stigma.,What’s Shame Got to Do With It?,WELLNESS & HEALTHY LIVING,727,86.5
What did it take for him to finally speak out? He has joined the liberal justices in seeing an abuse of the shadow docket.,John Roberts Has Lost Control of the Supreme Court,POLITICS,90,25.0
"A group of conservative men spoke with Times Opinion about what it’s like to be a man in America today, touching on cancel culture, race and gender.",These 8 Conservative Men Are Making No Apologies,POLITICS,1827,25.0
Volodymyr Yermolenko discusses how Russia’s invasion has reshaped Ukrainian identity.,A Ukrainian Philosopher on What Putin Never Understood About Ukraine,WORLD NEWS,1063,56.5
Some words have multiple parts. Some dirty words say multiple things.,"When You Hear the F-Word, Try Picking Up More Than One Meaning",WELLNESS & HEALTHY LIVING,770,86.5
Marine Le Pen and Emmanuel Macron are courting voters with emotion.,"In French Election, Le Pen and Macron Court Voters With Emotion",WORLD NEWS,857,56.5
A bipartisan child tax credit expansion may actually be within reach.,"To Help Children, Democrats are Going to Have to Reach Across the Aisle",POLITICS,1530,25.0
"As the climate changes, flood rules need reform to protect communities on the front lines.","As Climate Changes, Flood Rules Need Reform",ENVIRONMENT & GREEN,2970,12.5
We must acknowledge the role that race plays in sexual and reproductive health outcomes in this country.,"To Be Pro-Choice, You Must Have the Privilege of Having Choices",IMPACT,2483,7.5
Republican intransigence could help incubate a new variant.,The Unbelievable Stupidity of Ending Global Covid Aid,POLITICS,2092,25.0
"The critic Jennifer Wilson discusses new books by Yevgenia Belorusets and Andrey Kurkov, and Ben McGrath talks about “Riverman.”",Fiction About Lives in Ukraine,ARTS & CULTURE,2381,17.0
"On a visit to Melbourne, a Times reporter got a lesson in cafe etiquette, and the challenges facing the sustainability movement.","No reusable cup? In Australia, it’s at your own risk.",ENTERTAINMENT & FUN,1116,86.5
"Mr. Browder, once a major investor in Russia, discusses what influences Vladimir Putin and whether punishing the oligarchs around him could help end his aggression in Ukraine.","Bill Browder on Putin, Sanctions and How to End the War",WORLD NEWS,5670,56.5
We’ll bring your queries to experts and find some answers.,What Are Your Questions About the Future of the Coronavirus?,WELLNESS & HEALTHY LIVING,9426,86.5
"Ferdinand Marcos Jr. has spent his political career trying to rehabilitate the family name. As the front-runner in the upcoming election, he may finally succeed.","Ahead of Philippines Election, Ferdinand Marcos Jr. Rises",WORLD NEWS,11,56.5
A panel of experts says the latest research supports early intervention for younger kids.,"All Children 8 and Older Should Be Screened for Anxiety, U.S. Task Force Says",PARENTS & PARENTING,672,2.5
His credits ranged from the family-friendly “Aladdin” to the unfettered vulgarity of “The Aristocrats” and included a brief stint on “Saturday Night Live.”,"Gilbert Gottfried, Comedian With a Distinctive Voice, Dies at 67",ENTERTAINMENT & FUN,669,86.5
"A new report exploring young Latinos’ views on immigration sheds light on one of the most important voter groups in the midterm elections, and found a noteworthy gender divide.",How Young Latinos’ Online and TV Habits Offer Political Clues for 2022,IMPACT,687,7.5
"President Emmanuel Macron and Marine Le Pen, the far-right candidate, are in close contention as the April 24 presidential runoff election nears.",Macron and Le Pen Trade Jabs and Lean Left as French Race Heats Up,WORLD NEWS,736,56.5
"She was one of 13 women who founded the Ladies Professional Golf Association in 1950, though her legacy lay in her tutoring countless women, from duffers to fledgling pros.","Shirley Spork, Teaching Pro and a Founder of the L.P.G.A., Dies at 94",SPORTS,505,7.5
"The company’s first consumer protection lawsuit, filed Monday,  claims a Cameroon man tricked would-be buyers using Gmail and other services.","In a First, Google Goes After Puppy Fraud in Court",BUSINESS & MONEY,864,36.5
